MSt,MSlat,MSlon,MSdepth,MSmag,MSfms,MSprod,FSprod,MSres
727743.498332176,34.2483,-116.4781,1.1,7.2,0,48,0,0.14777156548649
727485.665445023,-9.1105,158.4699,34.6,7.2,0,17,0,-0.303020750510824
726973.098624769,5.0708,32.1588,14.9,7.2,0,33,0,-0.0149557320112099
726928.883744444,15.1421,147.5929,11.4,7.2,0,163,0,0.67871793251486
726325.193372917,-10.3229,160.8581,40.4,7.2,0,42,0,0.0897796185088031
726157.161135995,13.4496,124.6286,18,7.2,0,16,1,-0.329349689233173
726058.365860532,58.8183,-143.2462,10,7.2,0,44,0,0.10998300459709
725957.658954977,-19.0361,-70.0059,42.3,7.2,0,6,0,-0.755318421505454
725137.649891782,-5.5871,151.0709,27,7.2,0,58,0,0.22995832167384
723922.257016435,13.8541,124.3202,37.9,7.2,0,26,0,-0.118496323918279
736571.187475463,-0.0471,-17.8294,10,7.1,0,10,0,-0.44236176407454
736008.791128588,52.5097,-32.0209,16.9,7.1,0,14,2,-0.296233728396302
735532.715475579,37.1457,144.754,14.7,7.1,0,51,0,0.265208412023397
735522.008718171,9.8331,124.1231,23.2,7.1,0,222,0,0.903991210376099
734953.942437037,-35.2035,-72.1268,28.2,7.1,0,14,0,-0.296233728396302
734799.445393634,38.7294,43.4465,7.6,7.1,0,115,0,0.618336076279072
734735.704908449,-18.2774,168.067,34.6,7.1,0,115,1,0.618336076279072
734505.847432523,-38.3907,-73.3993,24.4,7.1,0,62,0,0.350029925423714
734141.942008912,-8.8788,157.4167,29.8,7.1,0,75,9,0.43269949931716
733815.73253912,3.7751,126.4987,24.2,7.1,0,390,0,1.14870284295196
733510.020977662,-55.5913,158.5422,10,7.1,0,18,0,-0.187089258971234
733487.939560995,35.5493,81.5063,10,7.1,0,47,0,0.229736093861178
733126.027813194,-20.5675,169.3463,36.2,7.1,0,71,0,0.408896584644536
732277.100699537,-3.6543,135.4096,5.1,7.1,0,121,1,0.64042360624191
732273.851656597,-46.4964,164.8273,7.6,7.1,0,2,0,-1.14133176841056
731306.286697685,24.27,122.184,33,7.1,0,26,0,-0.0273884161037217
731197.585131944,-42.785,124.682,10,7.1,0,8,0,-0.539271777082596
731084.286191319,-36.801,-179.723,33.5,7.1,0,202,0,0.862989605372084
730183.369437268,5.394,121.923,15,7.1,0,40,0,0.159698227253423
729678.044132292,-30.8907,-71.139,54.1,7.1,0,81,0,0.46612325480411
729080.130715162,15.9626,-98.0906,7.1,7.1,0,37,0,0.125839959992455
728985.177220602,28.8091,34.7951,9,7.1,0,57,0,0.313513091597952
728806.544354861,52.6044,142.8506,7.7,7.1,0,22,0,-0.0999390832523335
728770.024148843,12.072,125.5807,20.7,7.1,0,399,13,1.15861113161221
728538.636035995,40.436,-125.6911,10,7.1,0,4,0,-0.840301772746577
728488.108288773,-16.6372,167.4808,31.4,7.1,0,98,2,0.548864311617955
727994.129049421,-10.9385,164.189,20.4,7.1,0,36,0,0.113940736692748
727701.409244213,7.3012,126.7497,32.8,7.1,0,52,1,0.273641579560259
727679.754222569,40.3641,-124.0499,15.1,7.1,0,7,0,-0.597263724060283
727559.170812616,-55.9625,-25.1888,10,7.1,0,15,0,-0.266270505018858
727521.936696412,4.5976,-77.4136,14.9,7.1,0,8,0,-0.539271777082596
727143.843402315,53.4496,169.829,24.8,7.1,0,8,0,-0.539271777082596
726897.6932,-18.3051,168.089,21,7.1,0,18,0,-0.187089258971234
726509.469020023,2.2946,126.7832,37.5,7.1,0,94,0,0.530766089525159
726138.584058449,-24.7648,-70.4554,35.8,7.1,0,16,0,-0.238241781418615
726026.866660764,-6.2084,149.0564,31.7,7.1,0,37,2,0.125839959992455
725362.050964236,-13.9829,166.5125,51.5,7.1,0,56,1,0.305826262931661
725328.403033681,-1.8324,134.8404,10,7.1,0,14,0,-0.296233728396302
724725.405581829,44.0444,148.1208,42.3,7.1,0,34,1,0.0891171529677155
723914.590173495,-0.9158,-21.8377,10,7.1,0,2,0,-1.14133176841056
723755.723876736,29.9875,57.77,11.1,7.1,0,29,0,0.0200362338244164
737018.946866088,-21.3337,168.683,10,7,0,81,41,0.557231162618666
736658.780426273,11.9597,-88.8355,10.34,7,0,23,0,0.0104739797576092
736574.693024306,-37.3586,179.1461,19,7,0,174,1,0.889295392022616
736448.814861921,-16.0429,167.3786,24,7,0,71,1,0.500004492459092
736435.684099769,32.7906,130.7543,10,7,0,65,6,0.461659500382872
736172.9037125,-2.7134,138.5428,47.8,7,0,9,0,-0.397011346820659
736106.906483681,-11.1336,163.5935,19.6,7,0,74,2,0.517977863470993
735918.10535,1.834,126.4628,47.8,7,0,162,0,0.858261158282647
735881.093399768,-32.2989,-110.9241,4.2,7,0,17,0,-0.12080493488171
735502.696333102,-15.9001,-74.6012,38.2,7,0,9,0,-0.397011346820659
735476.684052315,51.5001,-175.2137,30.2,7,0,84,0,0.573025429801898
734971.302652431,28.8386,-113.127,10,7,0,4,3,-0.749193864932021
734942.380974884,40.842,145.0154,19.2,7,0,63,1,0.448086693193598
734901.565752431,-17.7532,167.1814,27.3,7,0,132,1,0.769320074945866
734804.787902199,-14.5572,-76.1207,29,7,0,23,0,0.0104739797576092
734694.039709606,38.0553,143.3016,24.7,7,0,189,2,0.925207947913261
734410.716261227,-4.9863,133.775,20.5,7,0,45,1,0.30195865751536
734384.691510185,-43.3608,171.9023,4,7,0,79,0,0.546373235030458
734305.136448148,-2.2032,136.5873,22.1,7,0,25,1,0.0466861524120541
