MSt,MSlat,MSlon,MSdepth,MSmag,MSfms,MSprod,FSprod,MSres,SeismoWidth,Background,Time_appended_cat1,Lat_appended_cat1,Lon_appended_cat1,Depth_appended_cat1,Mw_appended_cat1,Mo_appended_cat1,Width_appended_cat1,Length_appended_cat1,Strike_appended_cat1,Dip_appended_cat1,Rake_appended_cat1,RuptureVelocity_appended_cat1,RuptureTime_appended_cat1,StressDrop_appended_cat1,Young_appended_cat1,Poisson_appended_cat1
731522.059859144,2.9794,96.1147,31,7.2,0,33,0,-0.290102237476845,35.86,3.39724119075945e-15,731522,2.82,96.08,30,7.23,9.1105466e+19,84,70,297,16,73,2.63,1.95,2.6,168553476642.905,0.279292898752164
731218.724226273,-17.668,167.853,53.7,7.2,0,89,0,0.14077382929018,37.06,1.45297438101378e-14,729759,-22.3,170.91,101,7.43,1.8389115e+20,110,190,336,47,160,1.54,2.99,2.2,172821445288.877,0.279487037997594
729401.853102199,18.1734,-102.8339,49.3,7.2,0,10,0,-0.808616177354732,35.96,0,730864,13.05,-88.66,60,7.7,4.6609855e+20,127.5,168,307.31,55.5,273.62,1.35,2.16,9.4,170476165141.61,0.279283990683892
726928.883744444,15.1421,147.5929,11.4,7.2,0,142,0,0.343672167028324,38.12,0,726928,15.23,147.53,11,7.37,1.4684424e+20,35,75,26,61,280,2.07,1.9,5.9,52979413104.0256,0.325700211166361
736571.187475463,-0.0471,-17.8294,10,7.1,0,7,0,-0.859483035911457,28.28,3.27009762052679e-15,736571,-0.0718,-17.8139,12,7.1,5.8395161e+19,16.5,110,79,85,169,1,2.02,11,90281683994.9803,0.29989332642791
736008.791128588,52.5097,-32.0209,16.9,7.1,0,11,0,-0.663188390767489,28.5,0,736008,52.6693,-31.9244,13.8,7.13,6.4685736e+19,33,85,277.88,79.8,190.63,1.27,2.16,11,146302398072.132,0.280427442374798
734735.704908449,-18.2774,168.067,34.6,7.1,0,125,0,0.392328937082342,34.62,1.20900523744566e-14,734735,-18.36,168.14,32,7.12,6.3735013e+19,65,70,334,29,93,1.41,2.12,8.1,172821445288.877,0.279487037997594
729678.044132292,-30.8907,-71.139,54.1,7.1,0,91,0,0.25446031639538,33.4,1.40061070125218e-14,732581,-5.68,-76.4,115,7.48,2.1926721e+20,58.85,50,346.69,36,267.85,2.23,2,22,172821445288.877,0.279487037997594
736658.780426273,11.9597,-88.8355,10.34,7,0,10,0,-0.600545974496696,35.46,1.62046671729321e-15,737184,19.37,-155.03,8,6.88,2.7660745e+19,25,108,240,20,114,1.2,2.13,3.3,51491864640.6712,0.322375021391131
736574.693024306,-37.3586,179.1461,19,7,0,157,0,0.595353677912537,31.62,1.63446018220792e-15,736574,-37.401,179.055,19,7.02,4.4226091e+19,72,120,351,26,215,2.27,2.15,2.3,124884991789.58,0.275555776115203
